Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Fname,Customer Id,Customer Lname,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Product Name,Product Price,Shipping Mode
PAYMENT,2,1,92.08,195.92,Late delivery,1,46,Indoor/Outdoor Games,Azusa,EE. UU.,John,9575,Richards,Consumer,CA,4062 Rocky Fox Limits,91702.0,7,Fan Shop,34.13360977,-117.9058914,Europe,Lodz,Polonia,9575,4.0,0.02,49.98,0.47,4,199.92,195.92,92.08,Eastern Europe,Lodz,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,First Class
DEBIT,2,4,81.11,239.98,Advance shipping,0,43,Camping & Hiking,Jersey City,EE. UU.,Roy,1792,Rodriguez,Consumer,NJ,9959 Hidden Trace,7305.0,7,Fan Shop,40.70602036,-74.08685303,LATAM,La Ceiba,Honduras,1792,60.0,0.2,299.98,0.34,1,299.98,239.98,81.11,Central America,Atlántida,ON_HOLD,Diamondback Women's Serene Classic Comfort Bi,299.98,Standard Class
DEBIT,5,4,53.74,167.93,Late delivery,1,46,Indoor/Outdoor Games,Chicago,EE. UU.,Mary,4941,Smith,Consumer,IL,9160 Colonial Passage,60640.0,7,Fan Shop,41.96846008,-87.65660858,Africa,Lagos,Nigeria,4941,31.99,0.16,49.98,0.32,4,199.92,167.93,53.74,West Africa,Lagos,ON_HOLD,O'Brien Men's Neoprene Life Vest,49.98,Standard Class
DEBIT,2,4,39.18,79.97,Advance shipping,0,46,Indoor/Outdoor Games,Caguas,Puerto Rico,Mary,4971,Hogan,Consumer,PR,89 Lost Isle,725.0,7,Fan Shop,18.28511238,-66.37056732,Pacific Asia,Manila,Filipinas,4971,19.99,0.2,49.98,0.49,2,99.96,79.97,39.18,Southeast Asia,Capital Nacional,COMPLETE,O'Brien Men's Neoprene Life Vest,49.98,Standard Class
CASH,5,4,61.38,185.99,Late delivery,1,48,Water Sports,Caguas,Puerto Rico,Mary,12273,Dunn,Consumer,PR,1626 Misty Hills Round,725.0,7,Fan Shop,18.26325417,-66.37050629,Europe,Bourges,Francia,12273,14.0,0.07,199.99,0.33,1,199.99,185.99,61.38,Western Europe,Centro-Valle de Loira,CLOSED,Pelican Sunstream 100 Kayak,199.99,Standard Class
TRANSFER,2,1,-22.39,127.97,Late delivery,1,29,Shop By Sport,Spring Valley,EE. UU.,Mary,11567,Walker,Consumer,CA,4384 Rocky Fox Key,91977.0,5,Golf,32.75936127,-117.0171356,LATAM,La Romana,República Dominicana,11567,31.99,0.2,39.99,-0.18,4,159.96,127.97,-22.39,Caribbean,La Romana,PROCESSING,Under Armour Girls' Toddler Spine Surge Runni,39.99,First Class
DEBIT,1,0,137.09,527.25,Late delivery,1,68,Garden,Caguas,Puerto Rico,Brenna,15466,Wynn,Home Office,PR,363 Indian Berry Abbey,725.0,6,Outdoors,18.26859474,-66.0370636,Pacific Asia,Shantou,China,15466,5.33,0.01,532.58,0.26,1,532.58,527.25,137.09,Eastern Asia,Guangdong,COMPLETE,Lawn mower,532.58,Same Day
DEBIT,2,4,5.59,49.48,Advance shipping,0,46,Indoor/Outdoor Games,Fort Washington,EE. UU.,Phillip,4691,Petty,Corporate,MD,6953 Lazy Beacon Circuit,20744.0,7,Fan Shop,38.74266434,-76.9917984,Pacific Asia,Sydney,Australia,4691,0.5,0.01,49.98,0.11,1,49.98,49.48,5.59,Oceania,Nueva Gales del Sur,ON_HOLD,O'Brien Men's Neoprene Life Vest,49.98,Standard Class
DEBIT,6,2,57.76,199.17,Late delivery,1,17,Cleats,Madison,EE. UU.,Mary,6337,Smith,Consumer,WI,2607 Cinder River Expressway,53704.0,4,Apparel,43.09559631,-89.35118866,Africa,Abidjan,Costa de Marfil,6337,40.79,0.17,59.99,0.29,4,239.96,199.17,57.76,West Africa,Lagunes,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,Second Class
PAYMENT,2,1,-68.76,359.98,Late delivery,1,45,Fishing,Philadelphia,EE. UU.,Nicholas,1458,Phelps,Consumer,PA,9126 Colonial Gardens,19148.0,7,Fan Shop,39.92321014,-75.16308594,Europe,Montmorency,Francia,1458,40.0,0.1,399.98,-0.19,1,399.98,359.98,-68.76,Western Europe,Isla de Francia,PENDING_PAYMENT,Field & Stream Sportsman 16 Gun Fire Safe,399.98,First Class
DEBIT,3,4,41.99,119.98,Advance shipping,0,17,Cleats,Honolulu,EE. UU.,Heather,4402,Smith,Corporate,HI,1070 Dusty Beacon Maze,96817.0,4,Apparel,21.32156754,-157.8721771,Africa,Yaounde,Camerún,4402,0.0,0.0,59.99,0.35,2,119.98,119.98,41.99,Central Africa,Centro,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
DEBIT,2,4,94.08,195.99,Advance shipping,0,48,Water Sports,Caguas,Puerto Rico,Angela,247,Smith,Consumer,PR,7798 Lost Front,725.0,7,Fan Shop,18.35901833,-66.078125,LATAM,Guasave,México,247,4.0,0.02,199.99,0.48,1,199.99,195.99,94.08,Central America,Sinaloa,COMPLETE,Pelican Sunstream 100 Kayak,199.99,Standard Class
DEBIT,5,2,59.43,204.92,Late delivery,1,46,Indoor/Outdoor Games,Long Beach,EE. UU.,Laura,11262,Lopez,Consumer,CA,2 Middle Mall ,90805.0,7,Fan Shop,33.76706314,-118.1892548,Europe,Galati,Rumania,11262,44.98,0.18,49.98,0.29,5,249.9,204.92,59.43,Eastern Europe,Galati,COMPLETE,O'Brien Men's Neoprene Life Vest,49.98,Second Class
